task_name,name,description,increasing_parameters,decreasing_parameters,deviating_parameters
D1,D1-S1,Design slab span longer than conceptual design,L,,
D1,D1-S2,Design slab span shorter than conceptual design,,L,
D2,D2-S1,Slab width larger than conceptual design,b,,
D2,D2-S2,Slab width smaller than conceptual design,,b,
D3,D3-S1,Wrong boundary conditions,,,Med
D4,D4-S1,Reliability index larger,theta_E,,
D4,D4-S2,Reliability index smaller,,theta_E,
D5,D5-S1,Reliability index larger,theta_E,,
D5,D5-S2,Reliability index smaller,,theta_E,
D6,D6-S1,Reliability index larger,theta_E,,
D6,D6-S2,Reliability index smaller,,theta_E,
D7,D7-S1,Reliability index larger,theta_E,,
D7,D7-S2,Reliability index smaller,,theta_E,
D8,D8-S1,Reliability index larger,theta_E,,
D8,D8-S2,Reliability index smaller,,theta_E,
D9,D9-S1,List wrong type of load case,,,p_d
D9,D9-S2,List more load cases than reality,p_d,,
D9,D9-S3,List less load cases than reality,,p_d,
D10,D10-S1,Design load case magnitude higher than reality,p_d,,
D10,D10-S2,Design load case magnitude lower than reality,,p_d,
D10,D10-S3,Draw wrong distribution shape,,,p_d
D11,D11-S1,Miss critical load cases,,p_d,
D11,D11-S2,Miss critical load combinations,,p_d,
D12,D12-S1,Choose a higher safety factor for a load case,theta_E,,
D12,D12-S2,Choose a lower safety factor for a load case,,theta_E,
D13,D13-S1,Choose higher concrete quality,f_cd;fctm;Rho_l_min1;Rho_l_max,alpha;beta,
D13,D13-S2,Choose lower concrete quality,alpha;beta,f_cd;fctm;Rho_l_min1;Rho_l_max,
D14,D14-S1,Choose higher steel quality,f_yd,,
D14,D14-S2,Choose lower steel quality,,f_yd,
D15,D15-S1,determine material strength partial safety factor higher,theta_R,,
D15,D15-S2,determine material strength partial safety factorlower,,theta_R,
D16,D16-S1,Estimate the height higher,h,,
D16,D16-S2,Estimate the height lower,,h,
D17,D17-S1,Calculate self weight higer,p_G,,
D17,D17-S2,Calculate self weight lower,,p_G,
D18,D18-S1,Calculate design moment higher,Med,,
D18,D18-S2,Calculate design moment lower,,Med,
D19,D19-S1,Calculate shear force higher,,,
D19,D19-S2,Calculate shear force lower,,,
D20,D20-S1,Assume reinforcement diameter higher,diam,,
D20,D20-S2,Assume reinforcement diameter lower,,diam,
D21,D21-S1,Determine concrete cover higher,c,,
D21,D21-S2,Determine concrete cover lower,,c,
D22,D22-S1,Estimate effective height higher,diam,,
D22,D22-S2,Estimate effective height lower,,d,
D23,D23-S1,Calculate required reinforcment area higher,A_s,,
D23,D23-S2,Calculate required reinforcment area lower,,A_s,
D24,D24-S1,Determine minimum reinforcement area higher,A_s_min1,,
D24,D24-S2,Determine minimum reinforcement area lower,,A_s_min1,
D25,D25-S1,Determine maximum reinforcement area higher,A_s_max,,
D25,D25-S2,Determine maximum reinforcement area lower,,A_s_max,
D26,D26-S1,Forget to check minmum reinforcement area,,,
D26,D26-S2,Forget to round up As,,,A_s
D27,D27-S1,Choose practical value higher than As,A_s,,
D27,D27-S2,Choose practical value lower than As,,A_s,
D28,D28-S1,Check wrong (As<As_max) increase floor height or concrete quality,f_cd;fctm;Rho_l_min1;Rho_l_max,alpha;beta,
D28,D28-S2,Check right (As>As_max) but not increase floor height or concrete quality,,,
D29,D29-S1,-,,,
D29,D29-S2,-,,,
D30,D30-S1,Calculate effective height higher,d,,
D30,D30-S2,Calculate effective height lower,,d,
D31,D31-S1,Calculate comprassion zone height higher,xu,,
D31,D31-S2,Calculate comprassion zone height lower,,xu,
D32,D32-S1,Calculate  the moment arm of internal force resultants higher,z,,
D32,D32-S2,Calculate  the moment arm of internal force resultants lower,,z,
D33,D33-S1,Calculate moment resistance higher,MRd,,
D33,D33-S2,Calculate moment resistance lower,,MRd,
D34,D34-S1,Check true while MRd<Med,,,
D34,D34-S2,Check false while MRd>Med,,,
C1,C1-S1,Consult design and specifications wrongly,,,Med
C2,C2-S1,Concrete quality is higher,f_cd;fctm;Rho_l_min1;Rho_l_max,alpha;beta,
C2,C2-S2,Concrete quality is lower,f_cd;fctm;Rho_l_min1;Rho_l_max,alpha;beta,
C3,C3-S1,Foget to place rebars,,A_s,
C3,C3-S2,Place wrong type of rebars which has a bigger diameter,diam,,
C3,C3-S3,Place wrong type of rebars which has a smaller diameter,,diam,
C3,C3-S4,Place more rebars than design,A_s,,
C3,C3-S5,Place less rebars than design,,A_s,
C3,C3-S6,Wrong spacing and position to increase concrete cover,c,,
C3,C3-S7,Wrong spacing and position to decrease concrete cover,,c,
C7,C7-S1,Cast more concrete than required,p_G,,
C7,C7-S2,Do not cast enough concrete,,h,
C8,C8-S1,Wrong curing time or condition decrease concrete quality,,MRd,
C19,C19-S1,Measure dimensions wrong and misplace slab,,MRd,
C22,C22-S1,Forget to connect slab with other structure,,MRd,
C22,C22-S2,Construct connections incorrectly,,MRd,
