parameter,failure_mechanisms,mean,standard_deviation,distribution_type
p_d,[bendingMomentULS],5e-3,1e-3,normal
L,[bendingMomentULS],5000,50,normal
b,[bendingMomentULS],1000,0.1,normal
f_cd,[bendingMomentULS],30,5.0,lognormal
f_yd,[bendingMomentULS],560,30.0,lognormal
alpha,[bendingMomentULS],0.75,0.0,normal
beta,[bendingMomentULS],0.3889,0.0,normal
h,[bendingMomentULS],250,5,normal
p_G,[bendingMomentULS],6.25e-3,1e-3,normal
c,[bendingMomentULS],16,1.25,gamma
diam,[bendingMomentULS],10,0.1,normal
A_s,[bendingMomentULS],524,20,normal
theta_R,[bendingMomentULS],1.1,0.077,lognormal
theta_E,[bendingMomentULS],1.0,0.20,lognormal
